practice_id,ccg_id
1,99A
2,99A
3,99A
4,99A
5,99A
6,99A
7,99A
8,99A
9,99A
10,99A
11,99A
12,99A
13,99A
14,99A
15,99A
16,99A
17,99A
18,99A
19,99A
20,99A
21,99A
22,99A
23,99A
24,99A
25,99B
26,99B
27,99B
28,99B
29,99B
30,99B
31,99B
32,99B
33,99B
34,99B
35,99B
36,99C
37,99C
38,99C
39,99C
40,99C
41,99C
42,99C
43,99C
44,99C
45,99C
46,99C
47,99C
48,99D
49,99D
50,99D
51,99D
52,99D
53,99D
54,99D
55,99D
56,99D
57,99D
58,99D
59,99D
60,99D
61,99D
62,99D
63,99D
64,99D
65,99D
66,99D
67,99D
68,99D
69,99D
70,99D
71,99D
72,99D
73,99D
74,99D
75,99D
76,99D
77,99D
78,99D
79,99D
80,99D
81,99D
82,99D
83,99D
84,99D
85,99D
86,99D
87,99D
88,99D
89,99D
90,99D
91,99D
92,99D
93,99D
94,99D
95,99D
96,99D
97,99D
98,99D
99,99D
100,99D
101,99D
102,99D
103,99D
104,99D
105,99D
106,99D
107,99D
108,99D
109,99D
110,99D
111,99D
112,99D
113,99D
114,99D
115,99D
116,99D
117,99D
118,99D
119,99D
120,99D
121,99D
122,99D
123,99D
124,99D
125,99D
126,99D
127,99D
128,99D
129,99D
130,99D
131,99D
132,99D
133,99D
134,99D
135,99D
136,99D
137,99D
138,99D
139,99D
140,99D
141,99D
142,99D
143,99D
144,99D
145,99D
146,99D
147,99D
148,99D
